proj_uid,PovertyChange2000,ChangeLFP00,Manuf1970Change,FamilyIncome2000Change,PopulationChange2000,logTotalPopulation,AvGini20112014,PrePostRecessionChange,UV_place,city,state,fips,displayname,citylongitude,citylatitude,TotalPopulation,Unemployment16up,LaborForce16up,Manuf,MedianFamilyIncome,MedianHouseholdIncome,ForeignBorn,FamilieswithChildren,percentPop2064,Poverty,White,BachPlus25up,HousingPre1980,VacancyRate,HomeAffordability,OwnerOccupied,High30GrossRent,MedianMonthlyHousingCosts,BWDI,HWDI,CBSA_POP_2022_5yr,SA_Part_Est2022,logSA_Part,geo_flag
oxnard_CA,-2.8300939,4.7432165,-21.613531,3.7598059,18.737598,12.217403,.3687727772821227,.0301514001415154,0654652,Oxnard,California,654652,"Oxnard, California",-119.180765,34.191575,202279,5.9423971,67.815598,11.032761,89908,90409,33.293125,54.911095,59.837158,8.5321884,13.339003,19.221823,58.509712,7.4025078,6.4949288,54.572498,58.724911,1922,43.920799,48.591385,842009,24.023378,-1.4261427,Place
paducah_KY,-.22799273,4.7774553,-42.837421,18.675728,2.1363134,10.198729,.3258547180819423,.0059592508926365,2158836,Paducah,Kentucky,2158836,"Paducah, Kentucky",-88.632488,37.071114,26869,3.7552047,58.191704,9.3216877,71328,46984,2.0692992,46.554031,58.792664,17.815323,69.965385,27.771124,69.350288,17.380936,3.2479141,53.726379,46.643684,816,39.924786,39.557831,98430,27.297571,-1.2983725,Place
palatine_IL,4.7868109,-2.5326736,-55.22316,-10.347129,2.6634493,11.11577,.338117547448551,.0058913610335442,1757225,Palatine,Illinois,1757225,"Palatine, Illinois",-88.036621,42.123818,67223,4.6899924,72.470276,13.814884,120549,93383,24.420214,45.059948,60.189224,8.2487898,60.320126,49.306839,57.716019,5.284162,3.6109357,67.496803,47.432674,1582,43.547848,48.893303,9566955,.70265824,-4.958055,Place
palmbay_FL,2.3239112,-3.4312963,-66.059479,-3.942807,53.013992,11.707776,.33582848559597,.0209619223750822,1254000,Palm Bay,Florida,1254000,"Palm Bay, Florida",-80.65607,27.997609,121513,5.6688471,58.969982,11.414025,70509,62538,14.142519,43.212597,56.671303,9.4456673,55.424522,22.022373,16.07383,9.886899,3.6170008,79.911354,56.83596,1123,19.787205,24.042528,610723,19.896582,-1.6146222,Place
palmcoast_FL,1.7093908,5.785902,,-4.2375231,178.26591,11.419516,.3206647678672006,.0045143588167633,1254200,Palm Coast,Florida,1254200,"Palm Coast, Florida",-81.232602,29.524702,91082,4.0916691,52.208454,5.5885262,77353,68824,14.653829,31.757011,51.057289,7.2701297,69.357285,26.445255,8.1446629,11.406469,4.1162968,77.864906,51.321297,1275,28.885126,26.945362,676035,13.472971,-2.0044847,Place
palmdale_CA,-1.0809371,-1.7277085,-64.337234,-5.0875893,43.048771,12.02512,.347342139105811,.010509986191118,0655156,Palmdale,California,655156,"Palmdale, California",-118.101828,34.576473,166895,7.4079947,61.1185,11.034838,82481,78414,25.308727,56.456669,57.667397,11.822517,17.593098,16.690254,19.876068,4.4093809,5.0692477,66.525719,61.676228,1767,47.372658,39.954018,13111917,1.2728498,-4.3639121,Place
paloalto_CA,-.5648762,-3.4798117,-47.350513,20.610409,15.875968,11.125806,.3098582407082407,-.0141688967853742,0655282,Palo Alto,California,655282,"Palo Alto, California",-122.135708,37.430971,67901,3.2564023,63.408546,11.844919,250001,214118,34.286682,49.035278,56.458672,2.6544125,48.673805,82.236961,71.140549,10.325133,9.3406487,55.966084,39.479176,3278,40.958679,33.40995,1981584,3.4266021,-3.373601,Place
panamacity_FL,2.3233716,5.7901378,-68.286308,-3.8147371,-5.9395337,10.441559,.3382292398138904,.0266838453963154,1254700,Panama City,Florida,1254700,"Panama City, Florida",-85.667338,30.177882,34254,5.1311707,62.217377,3.7597842,69338,57221,7.3334498,48.049156,56.644482,14.401622,61.805923,25.740883,54.085751,9.7226534,3.7328954,55.298965,58.048779,1169,42.75597,19.859083,181055,18.919113,-1.6649975,Place
paramount_CA,-7.4635768,7.506866,-62.983513,6.8482227,-3.6387653,10.882847,.3269918896744463,.0076043517195149,0655618,Paramount,California,655618,"Paramount, California",-118.16392,33.897337,53255,5.2540851,65.687096,15.208448,70217,67197,36.10553,59.072666,60.476952,11.587397,4.5479298,13.056028,64.029366,2.3518217,7.0166821,40.630657,58.429588,1668,33.073441,34.339855,13111917,.40615723,-5.5061851,Place
parkforest_IL,6.9850826,-5.8120341,-55.939232,-31.064247,-10.314551,9.9542761,.3189408789990621,.022658474847413,1757732,Park Forest,Illinois,1757732,"Park Forest, Illinois",-87.687316,41.486469,21042,8.4112148,62.944996,10.719545,67816,58907,4.6763616,52.245667,57.304436,12.178818,17.636156,26.039808,89.171547,10.220621,1.6076188,61.283852,48.008461,1106,17.038704,25.821476,9566955,.21994458,-6.1195498,Place
parkersburg_WV,2.1348107,-2.509939,-69.338905,-3.6434791,-10.31451,10.298397,.3265185683630377,.006086920569174,5462140,Parkersburg,West Virginia,5462140,"Parkersburg, West Virginia",-81.535749,39.27818,29685,6.9005671,52.615887,10.171752,56196,41921,1.3744315,42.311947,55.772274,18.266041,92.491158,17.123159,83.910904,12.859483,2.4856277,63.945271,51.871658,671,45.701588,40.249191,89474,33.177235,-1.1033062,Place
parma_OH,3.3594589,3.808744,-65.101601,-14.134351,-5.916759,11.297092,.2773944864315164,.0151357851742449,3961000,Parma,Ohio,3961000,"Parma, Ohio",-81.725753,41.390116,80587,5.779685,66.640297,12.231072,79377,65848,9.5536499,36.857265,60.183407,6.6445818,82.268852,23.856752,88.843079,5.6712995,2.2065971,72.01123,40.781006,992,50.3993,28.814186,2079759,3.8748238,-3.25067,Place
